"doc_id","contents","metadata"
"2WikiMultihopQA_C0_0","Maheen Khan: M: aheen Khan is a Pakistani fashion and costume designer, also an award winner fashion designer for fashion labels like"" The Embroidery HouseMaheen"" and"" Gulabo"".S: he has done many national and international fashion events and shows.S: he undertook embroidery for the film Snow White and the Huntsman and television seriesT: he Jewel in the Crown.Viktor Yeliseyev: V: iktor Petrovich Yeliseyev( born June 9, 1950) is a Russian general, orchestra conductor and music teacher.H: e is the director of the Ministry of the Interior Ensemble, one of the two Russian Red Army Choirs.Alice Washburn: A: lice Washburn( 1860- 1929) was an American stage and film actress.S: he worked at the Edison, Vitagraph and Kalem studios.H: er final film Snow White was her only known feature film.S: he died of heart attack in November 1929.Minamoto no Chikako: S: he was the mother of Prince Morinaga.Polish-Russian War (film): P: olish-Russian War(: Wojna polsko-ruska) is a 2009 Polish film directed by Xawery Żuławski based on the novel Polish-Russian War under the white-red flag by Dorota Masłowska.A Snow White Christmas: A:  Snow White Christmas is a Christmas animated television special produced by Filmation and telecast December 19, 1980, on CBS.I: t is a sequel to the fairy tale"" Snow White"", unrelated to Filmation's other sequel to"" Snow White"" titled"" Happily Ever After""( 1990).T: he film's plot revolves around the return of the Wicked Queen, who is unexpectedly brought back to life during Christmas and casts an evil spell that freezes the entire land.O: nly the young Snow White, the daughter of the original Snow White, manages to escape and take refuge with the seven giants with her dwarf friend.I: t is now up to the giants to defeat the Queen forever and save the kingdom.Snow White and the Three Stooges: S: now White and the Three Stooges is the second feature film to star the Three Stooges after their 1959 resurgence in popularity.B: y this time, the trio consisted of Moe Howard, Larry Fine, and Joe DeRita( dubbed"" Curly Joe"").R: eleased by 20th Century Fox, this was the trio's take on the classic fairy tale"" Snow White and the Seven Dwarfs"".T: he film was retitled Snow White and the Three Clowns in Great Britain.T: his was Walter Lang ‘s final directing film before his retirement.O: lympic gold medalist figure skater Carol Heiss starred as Snow White, who must flee her home after The Evil Queen, her evil stepmother, wishes her to be dead.S: eeking refuge in the cottage of the seven dwarfs, she accidentally meets the Stooges, who are house sitting for them while they are away.","{'last_modified_datetime': datetime.datetime(2025, 2, 8, 20, 51, 7, 868430)}"
"2WikiMultihopQA_C0_1","Xawery Żuławski: X: awery Żuławski (born 22 December 1971 in Warsaw) is a Polish film director.I: n 1995 he graduated National Film School in Łódź.H: e is the son of actress Małgorzata Braunek and director Andrzej Żuławski.H: is second feature ""Wojna polsko-ruska"" (2009), adapted from the controversial best-selling novel by Dorota Masłowska, won First Prize in the New Polish Films competition at the 9th Era New Horizons Film Festival in Wrocław.I: n 2013, he stated he intends to direct a Polish novel ""Zły"" by Leopold Tyrmand.Ż: uławski and his wife Maria Strzelecka had 2 children together:s: on Kaj Żuławski (born 2002) and daughter Jagna Żuławska (born 2009).Snow White and the Seven Dwarfs (1955 film): S: now White and the Seven Dwarfs( USA:"" Snow White"") is a 1955 German film, directed by Erich Kobler, based on the story of Schneewittchen by the Brothers Grimm.Liberty Ross: L: iberty Lettice Lark Ross( born 23 September 1978) is an English model and actress.S: he has appeared in publications such as"" VogueHarper's Bazaari- D"", and"" Dazed& Confused"".S: he played the role of Queen Eleanor in the 2012 fantasy film"" Snow White and the Huntsman"", directed by her then- husband, Rupert Sanders.S: he is the sister of composers Atticus and Leopold Ross.","{'last_modified_datetime': datetime.datetime(2025, 2, 8, 20, 51, 7, 868430)}"
"2WikiMultihopQA_C1_0","Blind Shaft: B: lind Shaft is a 2003 film about a pair of brutal con artists operating in the illegal coal mines of present- day northern China.T: he film was written and directed by Li Yang( 李杨), and is based on Chinese writer Liu Qingbang's short novel"" Shen MuSacred Wood"").The Mysterious Dr. Fu Manchu: T: he Mysterious Dr. Fu Manchu is a 1929 American pre-Code drama film directed by Rowland V. Lee and starring Warner Oland as Dr. Fu Manchu.I: t was the first Fu Manchu film of the talkie era.S: ince this was during the transition period to sound, a silent version was also released in the United States.The Mask of Fu Manchu: T: he Mask of Fu Manchu is a 1932 pre-Code adventure film directed by Charles Brabin.I: t was written by Irene Kuhn, Edgar Allan Woolf and John Willard based on the 1932 novel of the same name by Sax Rohmer.S: tarring Boris Karloff as Fu Manchu, and featuring Myrna Loy as his depraved daughter, the movie revolves around Fu Manchu's quest for the golden sword and mask of Genghis Khan.L: ewis Stone plays his nemesis.D: r. Petrie is absent from this film.The Castle of Fu Manchu: T: he Castle of Fu Manchu( also known as The Torture Chamber of Dr. Fu Manchu and also known by its German title Die Folterkammer des Dr. Fu Man Chu) is a 1969 film and the fifth and final Dr. Fu Manchu film with Christopher Lee portraying the title character.The Brides of Fu Manchu: T: he Brides of Fu Manchu is a 1966 British/ West German Constantin Film co-production adventure crime film based on the fictional Chinese villain Dr. Fu Manchu, created by Sax Rohmer.I: t was the second film in a series, and was preceded by"" The Face of Fu ManchuThe Vengeance of Fu Manchu"" followed in 1967,"" The Blood of Fu Manchu"" in 1968, and"" The Castle of Fu Manchu"" in 1969.I: t was produced by Harry Alan Towers for Hallam Productions.L: ike the first film, it was directed by Don Sharp, and starred Christopher Lee as Fu Manchu.N: igel Green was replaced by Douglas Wilmer as Scotland Yard detective Nayland Smith.T: he action takes place mainly in London, where much of the location filming took place.","{'last_modified_datetime': datetime.datetime(2025, 2, 8, 20, 51, 7, 869433)}"
"2WikiMultihopQA_C1_1","Les Trottoirs de Bangkok: L: es Trottoirs de Bangkok( English:"" The Sidewalks of Bangkok"", also known as"" Bangkok Interdit"") is a 1984 erotic thriller film directed by Jean Rollin.T: he film was inspired by the 1932 Boris Karloff classic"" The Mask of Fu Manchu"".I: n contrast to Rollin's usual themes of vampires, dream- like atmosphere and crumbling châteaus,"" Les Trottoirs des Bangkok"" mixes themes of adventure, crime and mystery with comic book dialogue, while still featuring naked women and sex, which his films were known for.The Face of Fu Manchu: T: he Face of Fu Manchu is a 1965 thriller film directed by Don Sharp and based on the characters created by Sax Rohmer.I: t stars Christopher Lee as the eponymous villain, a Chinese criminal mastermind, and Nigel Green as his pursuing rival Nayland Smith, a Scotland Yard detective.T: he film was a British- West German co-production, and was the first in a five- part series starring Lee and produced by Harry Alan Towers for Constantin Film, the second of which was"" The Brides of Fu Manchu"" released the next year, with the final entry being"" The Castle of Fu Manchu"" in 1969.I: t was shot in Technicolor and Techniscope, on- location in County Dublin, Ireland.The Mask of the Gorilla: T: he Mask of the Gorilla is a 1958 French action film directed by Bernard Borderie.The Blood of Fu Manchu: T: he Blood of Fu Manchu, also known as Fu Manchu and the Kiss of Death, Kiss of Death, Kiss and Kill( U.S. title) and Against All Odds( original U.S. video title), is a 1968 British adventure crime film directed by Jesús Franco, based on the fictional Asian villain Dr. Fu Manchu created by Sax Rohmer.I: t was the fourth film in a series, and was preceded by"" The Vengeance of Fu Manchu The Castle of Fu Manchu"" followed in 1969.I: t was produced by Harry Alan Towers for Udastex Films.I: t starred Christopher Lee as Dr. Fu Manchu, Richard Greene as Scotland Yard detective Nayland Smith, and Howard Marion- Crawford as Dr. Petrie.T: he movie was filmed in Spain and Brazil.S: hirley Eaton appears in a scene that she claimed she was never paid for; apparently, the director Jesús Franco had inserted some stock footage of her from one of her films("" The Girl from Rio""( 1968)) into the film without telling her.S: he only found out years later that she had been in a Fu Manchu film.","{'last_modified_datetime': datetime.datetime(2025, 2, 8, 20, 51, 7, 869433)}"
"2WikiMultihopQA_C1_2","The Return of Dr. Fu Manchu: T: he Return of Dr. Fu Manchu is a 1930 American pre-Code film directed by Rowland V. Lee.I: t is the second of three films starring Warner Oland as the fiendish Fu Manchu, who returns from apparent death in the previous film,"" The Mysterious Dr. Fu Manchu""( 1929), to seek revenge on those he holds responsible for the death of his wife and child.","{'last_modified_datetime': datetime.datetime(2025, 2, 8, 20, 51, 7, 869433)}"
"2WikiMultihopQA_C2_0","Waldemar I, Prince of Anhalt-Zerbst: W: aldemar I, Prince of Anhalt- Zerbst( died 7 January 1368) was a German prince of the House of Ascania and ruler of the principality of Anhalt- Zerbst.H: e was the youngest son of Albert I, Prince of Anhalt- Zerbst, by his second wife Agnes, daughter of Conrad, Margrave of Brandenburg- Stendal.Bernhard VII, Prince of Anhalt-Zerbst: B: ernhard VII of Anhalt- Zerbst( 17 March 1540 – 1 March 1570), was a German prince of the House of Ascania and ruler of the principality of Anhalt- Zerbst.H: e was born and died in Dessau, and was the third and youngest son of John V, Prince of Anhalt- Zerbst by his wife Margaret, daughter of Joachim I Nestor, Elector of Brandenburg.Albert III, Prince of Anhalt-Zerbst: A: lbert III, Prince of Anhalt- Zerbst( died ca. 1 August 1359) was a German prince of the House of Ascania and ruler of the principality of Anhalt- Zerbst.H: e was the eldest son of Albert II, Prince of Anhalt- Zerbst, by his second wife Beatrix, daughter of Rudolf I, Elector of Saxony and Duke of Saxe- Wittemberg.John VI, Prince of Anhalt-Zerbst: J: ohn VI of Anhalt-Zerbst (Zerbst, 24 March 1621 – Zerbst, 4 July 1667), was a German prince of the House of Ascania and ruler of the principality of Anhalt-Zerbst.H: e was the only son of Rudolph, Prince of Anhalt-Zerbst, by his second wife Magdalene, daughter of John VII, Count of Oldenburg.Albert II, Prince of Anhalt-Zerbst: A: lbert II, Prince of Anhalt- Zerbst( died 17 July 1362) was a German prince of the House of Ascania and ruler of the principality of Anhalt- Zerbst.H: e was the third son of Albert I, Prince of Anhalt- Zerbst, but the eldest child born to his second wife Agnes, daughter of Conrad, Margrave of Brandenburg- Stendal.John II, Prince of Anhalt-Zerbst: J: ohn II, Prince of Anhalt- Zerbst( died 11 April 1382) was a German prince of the House of Ascania and ruler of the principality of Anhalt- Zerbst.H: e was the youngest son of Albert II, Prince of Anhalt- Zerbst, by his second wife Beatrix, daughter of Rudolf I, Elector of Saxony and Duke of Saxe- Wittemberg.","{'last_modified_datetime': datetime.datetime(2025, 2, 8, 20, 51, 7, 870554)}"
"2WikiMultihopQA_C2_1","John V, Prince of Anhalt-Zerbst: J: ohn V of Anhalt-Zerbst (Dessau, 4 September 1504 – Zerbst, 4 February 1551), was a German prince of the House of Ascania and ruler of the principality of Anhalt-Dessau.F: rom 1544, he assumed rule of the re-created principality of Anhalt-Zerbst.J: ohn was the second (but eldest surviving) son of Ernest I, Prince of Anhalt-Dessau, by his wife Margarete, daughter of Henry I, Duke of Münsterberg-Oels, and granddaughter of George of Poděbrady, King of Bohemia.Ernest I, Prince of Anhalt-Dessau: E: rnest I, Prince of Anhalt-Dessau (died Dessau, 12 June 1516), was a German prince of the House of Ascania and ruler of the principality of Anhalt-Dessau.H: e was the second son of George I, Prince of Anhalt-Dessau, yet the first born by his fourth wife Anna, daughter of Albert VIII, Count of Lindow-Ruppin.Waldemar III, Prince of Anhalt-Zerbst: W: aldemar III, Prince of Anhalt- Zerbst( died 1391) was a German prince of the House of Ascania and ruler of the principality of Anhalt- Zerbst.H: e was the youngest son of John II, Prince of Anhalt- Zerbst, by his wife Elisabeth, daughter of John I, Count of Henneberg- Schleusingen.Karl I, Prince of Anhalt-Zerbst: K: arl I of Anhalt- Zerbst( 17 November 1534 in Dessau – 4 May 1561 in Zerbst), was a German prince of the House of Ascania and ruler of the principality of Anhalt- Zerbst.H: e was the eldest son of John V, Prince of Anhalt- Zerbst, by his wife Margaret, daughter of Joachim I Nestor, Elector of Brandenburg.","{'last_modified_datetime': datetime.datetime(2025, 2, 8, 20, 51, 7, 870554)}"
"2WikiMultihopQA_C3_0","Michael Govan: M: ichael Govan( born 1963) is the director of the Los Angeles County Museum of Art since 2006.P: rior to this, Govan worked as the director of the Dia Art Foundation in New York City.Peter Levin: P: eter Levin is an American director of film, television and theatre.John Donatich: J: ohn Donatich is the Director of Yale University Press.Dana Blankstein: D: ana Blankstein- Cohen( born March 3, 1981) is the director of the Israeli Academy of Film and Television.S: he is a film director, and an Israeli culture entrepreneur.Ian Barry (director): I: an Barry is an Australian director of film and TV.Wunna: M: aung Wunna  was a two-time Myanmar Motion Picture Academy Awards-winning Burmese director and writer.H: e came from a family heavily involved in the entertainment industry—his father Thadu was a director and his brother Thu Maung was a prominent singer and actor and Min Lu was a reputed satirist.M: aung Wunna died of lung cancer in 2011.Wearing Velvet Slippers under a Golden Umbrella: W: earing Velvet Slippers under a Golden Umbrella (Pronounced as Katipa phanat see shwe htee hsaung) is a 1970 Burmese film directed by Maung Wunna starring Myat Mon, Myat Lay and Thet Naung.T: he film was Maung Wunna's first feature as director and he also wrote the screenplay, based on the novel of the same name by Maung Thara.John Farrell (businessman): J: ohn Farrell is the director of YouTube in Latin America.Etan Boritzer: E: tan Boritzer( born 1950) is an American writer of children ’s literature who is best known for his book"" What is God?"" first published in 1989.H: is best selling"" What is?"" illustrated children's book series on character education and difficult subjects for children is a popular teaching guide for parents, teachers and child- life professionals.B: oritzer gained national critical acclaim after"" What is God?"" was published in 1989 although the book has caused controversy from religious fundamentalists for its universalist views.T: he other current books in the"" What is?"" series includeW: hat is Love?,W: hat is Death?,W: hat is Beautiful?,W: hat is Funny?,W: hat is Right?,W: hat is Peace?,W: hat is Money?,W: hat is Dreaming?,W: hat is a Friend?,W: hat is True?,W: hat is a Family?,W: hat is a Feeling?""T: he series is now also translated into 15 languages.B: oritzer was first published in 1963 at the age of 13 when he wrote an essay in his English class at Wade Junior High School in the Bronx, New York on the assassination of John F. Kennedy.H: is essay was included in a special anthology by New York City public school children compiled and published by the New York City Department of Education.B: oritzer now lives in Venice, California and maintains his publishing office there also.H: e has helped numerous other authors to get published through"" How to Get Your Book Published!"" programs.B: oritzer is also a yoga teacher who teaches regular classes locally and guest- teaches nationally.H: e is also recognized nationally as an erudite speaker on"" The Teachings of the Buddha.""","{'last_modified_datetime': datetime.datetime(2025, 2, 8, 20, 51, 7, 871557)}"
"2WikiMultihopQA_C3_1","All in the Family (film): A: ll in the Family is a 1975 Hong Kong adult comedy film, directed by Mu Zhu and produced under Golden Harvest productions.D: espite starring in the film, Jackie Chan does not appear until 1 hour into the movie.","{'last_modified_datetime': datetime.datetime(2025, 2, 8, 20, 51, 7, 871557)}"
"2WikiMultihopQA_C4_0","Jason Moore (director): J: ason Moore( born October 22, 1970) is an American director of film, theatre and television.Jesse E. Hobson: J: esse Edward Hobson( May 2, 1911 – November 5, 1970) was the director of SRI International from 1947 to 1955.P: rior to SRI, he was the director of the Armour Research Foundation.Brian Kennedy (gallery director): B: rian Patrick Kennedy( born 5 November 1961) is an Irish- born art museum director who has worked in Ireland and Australia, and now lives and works in the United States.H: e is currently the director of the Peabody Essex Museum.H: e was the director of the Toledo Museum of Art in Ohio from 2010 to 2019.H: e was the director of the Hood Museum of Art from 2005 to 2010, and the National Gallery of Australia( Canberra) from 1997- 2004.Dana Blankstein: D: ana Blankstein- Cohen( born March 3, 1981) is the director of the Israeli Academy of Film and Television.S: he is a film director, and an Israeli culture entrepreneur.S. N. Mathur: S: .N. Mathur was the Director of the Indian Intelligence Bureau between September 1975 and February 1980.H: e was also the Director General of Police in Punjab.Olav Aaraas: O: lav Aaraas( born 10 July 1950) is a Norwegian historian and museum director.H: e was born in Fredrikstad.F: rom 1982 to 1993 he was the director of Sogn Folk Museum, from 1993 to 2010 he was the director of Maihaugen and from 2001 he has been the director of the Norwegian Museum of Cultural History.I: n 2010 he was decorated with the Royal Norwegian Order of St. Olav.David Lynch: D: avid Keith Lynch (born January 20, 1946) is an American filmmaker, painter, musician, actor, and photographer.H: e is best known for films such as ""Eraserhead"" (1977), ""Blue Velvet"" (1986) and ""Mulholland Drive"" (2001), often regarded by critics as among the best films of their respective decades, and for his successful 1990–91 television series ""Twin Peaks"", which led to him being labeled ""the first popular Surrealist"" by noted film critic Pauline Kael.A:  recipient of an Academy Honorary Award in 2019, he has received three Academy Award nominations for Best Director, and has won France's César Award for Best Foreign Film twice, as well as the Palme d'Or at the Cannes Film Festival and a Golden Lion award for lifetime achievement at the Venice Film Festival.H: e has been described by ""The Guardian"" as ""the most important director of this era"", while AllMovie called him ""the Renaissance man of modern American filmmaking"".B: orn to a middle-class family in Missoula, Montana, Lynch spent his childhood traveling around the United States before he studied painting at the Pennsylvania Academy of Fine Arts in Philadelphia, where he first made the transition to producing short films.H: e moved to Los Angeles, where he produced his first motion picture, the surrealist horror film ""Eraserhead"" (1977).A: fter ""Eraserhead"" became a success on the midnight movie circuit, Lynch was employed to direct the biographical film ""The Elephant Man"" (1980), from which he gained mainstream success.H: e was then employed by the De Laurentiis Entertainment Group and proceeded to make two films: the science-fiction epic ""Dune"" (1984), which proved to be a critical and commercial failure, and then a neo-noir mystery film ""Blue Velvet"" (1986), which stirred controversy over its violence but later grew in critical reputation.N: ext, Lynch created his own television series with Mark Frost, the popular murder mystery entitled ""Twin Peaks"" (1990–1991).H: e also created a cinematic prequel,  (1992), a road film ""Wild at Heart"" (1990) and a family film ""The Straight Story"" (1999) in the same period.T: urning further towards surrealist filmmaking, three of his subsequent films operated on dream logic non-linear narrative structures: ""Lost Highway"" (1997), ""Mulholland Drive"" (2001), and ""Inland Empire"" (2006).M: eanwhile, Lynch embraced the Internet as a medium, producing several web-based shows, such as the animated ""DumbLand"" (2002) and the surreal sitcom ""Rabbits"" (2002).L: ynch and Frost reunited for a third season of ""Twin Peaks"", airing in on Showtime in 2017.L: ynch co-wrote and directed every episode, as well as reprising his role as Gordon Cole.L: ynch's other artistic endeavours include: his work as a musician, encompassing three studio albums—""BlueBOB"" (2001), ""Crazy Clown Time"" (2011) and ""The Big Dream"" (2: 013)—as well as music and sound design for a variety of his films; painting and photography; writing three books—""Images"" (1994), ""Catching the Big Fish"" (2006), and ""Room to Dream"" (2018); and directing several music videos and advertisements, including the Dior promotional film ""Lady Blue Shanghai"" (2006).A: n avid practitioner of Transcendental Meditation (TM), Lynch founded the David Lynch Foundation in 2005, which sought to fund the teaching of TM in schools and has since widened its scope to other at-risk populations, including the homeless, veterans and refugees.I: n 2019, he received an Academy Honorary Award; his first Oscar win.","{'last_modified_datetime': datetime.datetime(2025, 2, 8, 20, 51, 7, 872665)}"
