"qid","query","retrieval_gt","generation_gt"
"2WikiMultihopQA_Q0","Who is the mother of the director of film Polish-Russian War (Film)?","[array(['2WikiMultihopQA_C0_0', '2WikiMultihopQA_C0_1'], dtype=object)]","Małgorzata Braunek"
"2WikiMultihopQA_Q1","Which film came out first, Blind Shaft or The Mask Of Fu Manchu?","[array(['2WikiMultihopQA_C1_0', '2WikiMultihopQA_C1_1',
        '2WikiMultihopQA_C1_2'], dtype=object)         ]","The Mask Of Fu Manchu"
"2WikiMultihopQA_Q2","When did John V, Prince Of Anhalt-Zerbst's father die?","[array(['2WikiMultihopQA_C2_0', '2WikiMultihopQA_C2_1'], dtype=object)]","12 June 1516"
"2WikiMultihopQA_Q3","What is the award that the director of film Wearing Velvet Slippers Under A Golden Umbrella won?","[array(['2WikiMultihopQA_C3_0', '2WikiMultihopQA_C3_1'], dtype=object)]","Myanmar Motion Picture Academy Awards"
"2WikiMultihopQA_Q4","Where was the director of film Ronnie Rocket born?","[array(['2WikiMultihopQA_C4_0', '2WikiMultihopQA_C4_1'], dtype=object)]","Missoula, Montana"
"2WikiMultihopQA_Q5","Who is Charles Bretagne Marie De La Trémoille's paternal grandfather?","[array(['2WikiMultihopQA_C5_0', '2WikiMultihopQA_C5_1',
        '2WikiMultihopQA_C5_2'], dtype=object)         ]","Charles Armand René de La Trémoille"
"2WikiMultihopQA_Q6","Where was the father of Ștefan I. Nenițescu born?","[array(['2WikiMultihopQA_C6_0', '2WikiMultihopQA_C6_1',
        '2WikiMultihopQA_C6_2'], dtype=object)         ]","Galați"
"2WikiMultihopQA_Q7","Are North Marion High School (Oregon) and Seoul High School both located in the same country?","[array(['2WikiMultihopQA_C7_0', '2WikiMultihopQA_C7_1'], dtype=object)]","no"
"2WikiMultihopQA_Q8","Which film has the director who was born later, El Extraño Viaje or Love In Pawn?","[array(['2WikiMultihopQA_C8_0', '2WikiMultihopQA_C8_1'], dtype=object)]","El Extraño Viaje"
"2WikiMultihopQA_Q9","Who is the maternal grandfather of Antiochus X Eusebes?","[array(['2WikiMultihopQA_C9_0', '2WikiMultihopQA_C9_1'], dtype=object)]","Ptolemy IX Lathyros"
"2WikiMultihopQA_Q10","Which film has the director died first, Crimen A Las Tres or The Working Class Goes To Heaven?","[array(['2WikiMultihopQA_C10_0', '2WikiMultihopQA_C10_1'], dtype=object)]","The Working Class Goes To Heaven"
"2WikiMultihopQA_Q11","Which film has the director born first, Once A Gentleman or The Girl In White?","[array(['2WikiMultihopQA_C11_0'], dtype=object)]","Once A Gentleman"
"2WikiMultihopQA_Q12","Which film has the director who died earlier, Il Seduttore or The Trial Of Joan Of Arc?","[array(['2WikiMultihopQA_C12_0', '2WikiMultihopQA_C12_1'], dtype=object)]","The Trial Of Joan Of Arc"
"2WikiMultihopQA_Q13","Where was the director of film Thomas Jefferson (Film) born?","[array(['2WikiMultihopQA_C13_0', '2WikiMultihopQA_C13_1'], dtype=object)]","Brooklyn"
"2WikiMultihopQA_Q14","Why did Grand Duke Kirill Vladimirovich Of Russia's wife die?","[array(['2WikiMultihopQA_C14_0', '2WikiMultihopQA_C14_1',
        '2WikiMultihopQA_C14_2'], dtype=object)          ]","stroke"
"2WikiMultihopQA_Q15","Where was the place of death of the director of film Beat Girl?","[array(['2WikiMultihopQA_C15_0', '2WikiMultihopQA_C15_1'], dtype=object)]","Nice"
"2WikiMultihopQA_Q16","Who died first, Fleetwood Sheppard or George William Whitaker?","[array(['2WikiMultihopQA_C16_0', '2WikiMultihopQA_C16_1'], dtype=object)]","Fleetwood Sheppard"
"2WikiMultihopQA_Q17","Which film has the director born first, The Raven'S Dance or Keïta! L'Héritage Du Griot?","[array(['2WikiMultihopQA_C17_0', '2WikiMultihopQA_C17_1'], dtype=object)]","The Raven'S Dance"
"2WikiMultihopQA_Q18","When did Jean Martin (Singer)'s husband die?","[array(['2WikiMultihopQA_C18_0', '2WikiMultihopQA_C18_1'], dtype=object)]","1983"
"2WikiMultihopQA_Q19","Which film has the director who died earlier, Tangled Destinies or The Daltons' Women?","[array(['2WikiMultihopQA_C19_0', '2WikiMultihopQA_C19_1'], dtype=object)]","Tangled Destinies"
"2WikiMultihopQA_Q20","Which film was released earlier, Moment Of Danger or The Ballad Of Josie?","[array(['2WikiMultihopQA_C20_0', '2WikiMultihopQA_C20_1'], dtype=object)]","Moment Of Danger"
"2WikiMultihopQA_Q21","What nationality is the director of film World And Time Enough?","[array(['2WikiMultihopQA_C21_0', '2WikiMultihopQA_C21_1'], dtype=object)]","United States"
"2WikiMultihopQA_Q22","Which film has the director died earlier, Poker In Bed or The Machine To Kill Bad People?","[array(['2WikiMultihopQA_C22_0', '2WikiMultihopQA_C22_1'], dtype=object)]","The Machine To Kill Bad People"
"2WikiMultihopQA_Q23","Which film whose director is younger, Heads I Win, Tails You Lose or The Incredible Sarah?","[array(['2WikiMultihopQA_C23_0', '2WikiMultihopQA_C23_1'], dtype=object)]","Heads I Win, Tails You Lose"
"2WikiMultihopQA_Q24","Who is Catherine Of Pomerania, Countess Palatine Of Neumarkt's father-in-law?","[array(['2WikiMultihopQA_C24_0', '2WikiMultihopQA_C24_1'], dtype=object)]","Rupert"
"2WikiMultihopQA_Q25","Who is Marie Zéphyrine Of France's paternal grandmother?","[array(['2WikiMultihopQA_C25_0', '2WikiMultihopQA_C25_1'], dtype=object)]","Marie Leszczyńska"
"2WikiMultihopQA_Q26","Which film has the director died earlier, Condemned Women or Faces In The Dark?","[array(['2WikiMultihopQA_C26_0', '2WikiMultihopQA_C26_1'], dtype=object)]","Condemned Women"
"2WikiMultihopQA_Q27","Who is the spouse of the director of film Eden And After?","[array(['2WikiMultihopQA_C27_0', '2WikiMultihopQA_C27_1'], dtype=object)]","Catherine Robbe-Grillet"
"2WikiMultihopQA_Q28","Where was the place of death of Anastasia Of Serbia's husband?","[array(['2WikiMultihopQA_C28_0', '2WikiMultihopQA_C28_1',
        '2WikiMultihopQA_C28_2'], dtype=object)          ]","Hilandar"
"2WikiMultihopQA_Q29","Are Fire In Hell and The Tiger: An Old Hunter'S Tale from the same country?","[array(['2WikiMultihopQA_C29_0'], dtype=object)]","yes"
"2WikiMultihopQA_Q30","Which film was released more recently, Lo Zappatore or Placer Sangriento?","[array(['2WikiMultihopQA_C30_0'], dtype=object)]","Placer Sangriento"
"2WikiMultihopQA_Q31","Was Şemsettin Baş or Gwenc'Hlan Le Scouëzec born first?","[array(['2WikiMultihopQA_C31_0', '2WikiMultihopQA_C31_1'], dtype=object)]","Gwenc'Hlan Le Scouëzec"
"2WikiMultihopQA_Q32","Which film has the director born later, Bhoomiyude Avakashikal or The Majesty Of The Law?","[array(['2WikiMultihopQA_C32_0', '2WikiMultihopQA_C32_1',
        '2WikiMultihopQA_C32_2'], dtype=object)          ]","Bhoomiyude Avakashikal"
"2WikiMultihopQA_Q33","Who is Cornelia (Wife Of Caesar)'s child-in-law?","[array(['2WikiMultihopQA_C33_0', '2WikiMultihopQA_C33_1'], dtype=object)]","Pompey"
"2WikiMultihopQA_Q34","Why did John Middleton Murry's wife die?","[array(['2WikiMultihopQA_C34_0', '2WikiMultihopQA_C34_1'], dtype=object)]","tuberculosis"
"2WikiMultihopQA_Q35","Who is the paternal grandfather of Taj Al-Dawla?","[array(['2WikiMultihopQA_C35_0', '2WikiMultihopQA_C35_1',
        '2WikiMultihopQA_C35_2'], dtype=object)          ]","Rukn al-Dawla"
"2WikiMultihopQA_Q36","Do both films Payment On Demand and My Cousin From Warsaw have the directors from the same country?","[array(['2WikiMultihopQA_C36_0', '2WikiMultihopQA_C36_1'], dtype=object)]","yes"
"2WikiMultihopQA_Q37","What is the place of birth of the director of film And The Spring Comes?","[array(['2WikiMultihopQA_C37_0'], dtype=object)]","Xi'an"
"2WikiMultihopQA_Q38","Who died first, Madame Pasca or James A. Donohoe?","[array(['2WikiMultihopQA_C38_0'], dtype=object)]","Madame Pasca"
"2WikiMultihopQA_Q39","Who was born later, D'Arcy Coulson or Thomas William Adams?","[array(['2WikiMultihopQA_C39_0', '2WikiMultihopQA_C39_1'], dtype=object)]","D'Arcy Coulson"
"2WikiMultihopQA_Q40","Are Simonds Catholic College and Saginaw High School (Texas) both located in the same country?","[array(['2WikiMultihopQA_C40_0', '2WikiMultihopQA_C40_1'], dtype=object)]","no"
"2WikiMultihopQA_Q41","Which country Prince Nikolaus Wilhelm Of Nassau's mother is from?","[array(['2WikiMultihopQA_C41_0', '2WikiMultihopQA_C41_1'], dtype=object)]","German"
"2WikiMultihopQA_Q42","Which film whose director was born first, 45 Fathers or The Intended?","[array(['2WikiMultihopQA_C42_0', '2WikiMultihopQA_C42_1'], dtype=object)]","45 Fathers"
