"qid","query","retrieval_gt","generation_gt"
"NQ_Q0","what do the 3 dots mean in math","[array(['NQ_C0_0', 'NQ_C0_1'], dtype=object)]","['In logical argument and mathematical proof, the therefore sign (∴) is generally used before a logical consequence, such as the conclusion of a syllogism. The symbol consists of three dots placed in an upright triangle and is read therefore. It is encoded at    (HTML\\xa0&#8756;\\xa0· &there4;). For common use in Microsoft Office hold the ALT key and type ""8756"". While it is not generally used in formal writing, it is used in mathematics and shorthand. It is complementary to    (HTML\\xa0&#8757;).']"
"NQ_Q1","when was the writ watch invented by who","[array(['NQ_C1_0', 'NQ_C1_1', 'NQ_C1_2', 'NQ_C1_3', 'NQ_C1_4', 'NQ_C1_5',
        'NQ_C1_6', 'NQ_C1_7', 'NQ_C1_8'], dtype=object)                  ]","[]"
"NQ_Q2","who wrote the song photograph by ringo starr","[array(['NQ_C2_0', 'NQ_C2_1', 'NQ_C2_2', 'NQ_C2_3', 'NQ_C2_4', 'NQ_C2_5',
        'NQ_C2_6', 'NQ_C2_7', 'NQ_C2_8', 'NQ_C2_9'], dtype=object)       ]","[]"
"NQ_Q3","who is playing the halftime show at super bowl 2016","[array(['NQ_C3_0', 'NQ_C3_1', 'NQ_C3_2', 'NQ_C3_3'], dtype=object)]","[""The Super Bowl 50 Halftime Show took place on February 7, 2016, at Levi's Stadium in Santa Clara, California as part of Super Bowl 50. It was headlined by the British rock group Coldplay with special guest performers Beyoncé and Bruno Mars, who previously had headlined the Super Bowl XLVII and Super Bowl XLVIII halftime shows, respectively.""]"
"NQ_Q4","star wars the clone wars anakin voice actor","[array(['NQ_C4_0', 'NQ_C4_1', 'NQ_C4_2'], dtype=object)]","[""In December 2006, he was announced to voice the role of Anakin Skywalker for the animated film Star Wars: The Clone Wars which was released on August 15, 2008. The film had box office success earning worldwide $69,182,844. He continued in the role in the television series Star Wars: The Clone Wars which premiered on October 3, 2008 on the Cartoon Network. He has also reprised his role in various video games based on the franchise. The series' fourth season premiered in September, 2011. Season five premiered on Cartoon Network on September 29, 2012. The Red Carpet Premier for the fifth Season was in Orlando, Florida during Celebration VI on Friday August 24, 2012 where Lanter along with some of his co-stars Samuel Witwer, James Arnold Taylor, Dee Bradley Baker, Tom Kane, Daniel Logan and Stephen Stanton as well as Supervising Director Dave Filoni attended this special event.""]"
"NQ_Q5","meaning behind the song whiter shade of pale","[array(['NQ_C5_0', 'NQ_C5_1', 'NQ_C5_2', 'NQ_C5_3', 'NQ_C5_4', 'NQ_C5_5',
        'NQ_C5_6'], dtype=object)                                        ]","[]"
"NQ_Q6","where is most distortion found on a globe","[array(['NQ_C6_0', 'NQ_C6_1', 'NQ_C6_2', 'NQ_C6_3'], dtype=object)]","['Flat maps are created using a map projection that inevitably introduces an increasing amount of distortion the larger the area that the map shows. A globe is the only representation of the Earth that does not distort either the shape or the size of large features\\xa0– land masses, bodies of water, etc.']"
"NQ_Q7","to aru kagaku no railgun s episode 3","[array(['NQ_C7_0', 'NQ_C7_1', 'NQ_C7_2'], dtype=object)]","[]"
"NQ_Q8","when do new chapters of owari no seraph come out","[array(['NQ_C8_0'], dtype=object)]","[]"
"NQ_Q9","where does the last name painter come from","[array(['NQ_C9_0', 'NQ_C9_1', 'NQ_C9_2', 'NQ_C9_3', 'NQ_C9_4', 'NQ_C9_5',
        'NQ_C9_6', 'NQ_C9_7', 'NQ_C9_8', 'NQ_C9_9', 'NQ_C9_10', 'NQ_C9_11',
        'NQ_C9_12', 'NQ_C9_13', 'NQ_C9_14', 'NQ_C9_15', 'NQ_C9_16',
        'NQ_C9_17', 'NQ_C9_18', 'NQ_C9_19', 'NQ_C9_20', 'NQ_C9_21',
        'NQ_C9_22', 'NQ_C9_23', 'NQ_C9_24', 'NQ_C9_25', 'NQ_C9_26',
        'NQ_C9_27', 'NQ_C9_28', 'NQ_C9_29', 'NQ_C9_30'], dtype=object)     ]","[]"
"NQ_Q10","dominant alleles are always the most common allele in a population","[array(['NQ_C10_0', 'NQ_C10_1', 'NQ_C10_2', 'NQ_C10_3', 'NQ_C10_4',
        'NQ_C10_5', 'NQ_C10_6', 'NQ_C10_7', 'NQ_C10_8', 'NQ_C10_9',
        'NQ_C10_10', 'NQ_C10_11', 'NQ_C10_12', 'NQ_C10_13', 'NQ_C10_14'],
       dtype=object)                                                     ]","[]"
"NQ_Q11","an eastern red cedar is a hardwood or softwood","[array(['NQ_C11_0'], dtype=object)]","[]"
"NQ_Q12","what are the challenges faced by the cotton textile industry of ahmedabad","[array(['NQ_C12_0'], dtype=object)]","[]"
"NQ_Q13","who won the 2017 sports personality of the year","[array(['NQ_C13_0', 'NQ_C13_1'], dtype=object)]","[]"
"NQ_Q14","i got the joy joy joy down in my heart lyrics","[array(['NQ_C14_0', 'NQ_C14_1', 'NQ_C14_2'], dtype=object)]","[]"
"NQ_Q15","is there a basketball team in las vegas","[array(['NQ_C15_0', 'NQ_C15_1', 'NQ_C15_2', 'NQ_C15_3', 'NQ_C15_4',
        'NQ_C15_5', 'NQ_C15_6', 'NQ_C15_7', 'NQ_C15_8', 'NQ_C15_9',
        'NQ_C15_10', 'NQ_C15_11', 'NQ_C15_12'], dtype=object)      ]","[]"
"NQ_Q16","who lives in the grounds of windsor castle","[array(['NQ_C16_0', 'NQ_C16_1', 'NQ_C16_2', 'NQ_C16_3', 'NQ_C16_4',
        'NQ_C16_5', 'NQ_C16_6', 'NQ_C16_7', 'NQ_C16_8', 'NQ_C16_9',
        'NQ_C16_10', 'NQ_C16_11', 'NQ_C16_12', 'NQ_C16_13', 'NQ_C16_14',
        'NQ_C16_15', 'NQ_C16_16', 'NQ_C16_17', 'NQ_C16_18', 'NQ_C16_19',
        'NQ_C16_20', 'NQ_C16_21', 'NQ_C16_22', 'NQ_C16_23', 'NQ_C16_24',
        'NQ_C16_25', 'NQ_C16_26', 'NQ_C16_27', 'NQ_C16_28', 'NQ_C16_29',
        'NQ_C16_30', 'NQ_C16_31', 'NQ_C16_32'], dtype=object)           ]","[""Windsor Castle, part of the Occupied Royal Palaces Estate, is owned by Queen Elizabeth\\xa0II in right of the Crown, and day-to-day management is by the Royal Household. In terms of population, Windsor Castle is the largest inhabited castle in the world and the longest-occupied palace in Europe, but it also remains a functioning royal home. As of 2006, around 500 people were living and working in the castle. The Queen has increasingly used the castle as a royal palace as well as her weekend home and it is now as often used for state banquets and official entertaining as Buckingham Palace. In recent years, Windsor Castle has hosted visits from President Mbeki of South Africa, King Abdullah II of Jordan and President Obama of the United States. The castle remains an important ceremonial location. The Waterloo ceremony is carried out in the presence of the Queen each year, and the annual ceremony of the Order of the Garter takes place in St George's Chapel. While the Queen is in residence, the Guard Mounting ceremony occurs on a daily basis. The Royal Ascot procession leaves the castle each year during the annual meeting.""]"
"NQ_Q17","list of environmentally critical areas in the philippines","[array(['NQ_C17_0', 'NQ_C17_1', 'NQ_C17_2', 'NQ_C17_3'], dtype=object)]","[]"
"NQ_Q18","after the bath woman drying herself elements of design","[array(['NQ_C18_0', 'NQ_C18_1'], dtype=object)]","[]"
"NQ_Q19","what’s the difference between downhill and super g","[array(['NQ_C19_0', 'NQ_C19_1', 'NQ_C19_2', 'NQ_C19_3'], dtype=object)]","['Much like downhill, the other of the two ""speed"" events in alpine skiing, a super-G course consists of widely set gates that racers must pass through. The course is set so that skiers must turn more than in downhill, though the speeds are still much higher than in giant slalom (hence the name). Each athlete only has one run to clock the best time. In the Olympics, super-G courses are usually set on the same slopes as the downhill, but with a lower starting point.']"
"NQ_Q20","where was the world economic forum held this year","[array(['NQ_C20_0', 'NQ_C20_1', 'NQ_C20_2', 'NQ_C20_3', 'NQ_C20_4',
        'NQ_C20_5', 'NQ_C20_6', 'NQ_C20_7', 'NQ_C20_8', 'NQ_C20_9',
        'NQ_C20_10', 'NQ_C20_11', 'NQ_C20_12', 'NQ_C20_13', 'NQ_C20_14'],
       dtype=object)                                                     ]","['The forum is best known for its annual meeting at the end of January in Davos, a mountain resort in Graubünden, in the eastern Alps region of Switzerland. The meeting brings together some 2,500 top business leaders, international political leaders, economists, celebrities and journalists for up to four days to discuss the most pressing issues facing the world. Often this location alone is used to identify meetings, participation, and participants, with such phrases as ""a Davos panel"" and ""Davos man"" being used.']"
"NQ_Q21","where are the giant redwoods located in california","[array(['NQ_C21_0', 'NQ_C21_1', 'NQ_C21_2', 'NQ_C21_3', 'NQ_C21_4',
        'NQ_C21_5', 'NQ_C21_6', 'NQ_C21_7', 'NQ_C21_8', 'NQ_C21_9',
        'NQ_C21_10', 'NQ_C21_11', 'NQ_C21_12'], dtype=object)      ]","[]"
"NQ_Q22","who has made the most premier league appearances","[array(['NQ_C22_0'], dtype=object)]","[]"
"NQ_Q23","who was the first chief minister of west bengal","[array(['NQ_C23_0', 'NQ_C23_1'], dtype=object)]","[""Since 1947, there have been eight Chief Ministers of West Bengal. The first was Prafulla Chandra Ghosh of the Indian National Congress, who was succeeded by his party-mates Dr Bidhan Chandra Roy and Prafulla Chandra Sen. A decade of instability followed, marred by fractious coalition governments and frequent impositions of President's rule. The instability ended with 1977 election victory of the Communist Party of India (Marxist) (CPM). Headed by Jyoti Basu, the CPM-led Left Front government was in office for over 23 years (1977–2000). Left rule in West Bengal continued for another 10 years under Buddhadeb Bhattacharya, before its defeat in the 2011 election by the Trinamool Congress. Appointed on 20 May 2011, Trinamool leader Mamata Banerjee is the current incumbent, the state's first woman chief minister.""]"
"NQ_Q24","who sings got my mind set on you","[array(['NQ_C24_0', 'NQ_C24_1'], dtype=object)]","[]"
"NQ_Q25","two main types of research methods used in psychology","[array(['NQ_C25_0'], dtype=object)]","[]"
"NQ_Q26","i only have eyes for you buffy episode","[array(['NQ_C26_0', 'NQ_C26_1', 'NQ_C26_2'], dtype=object)]","[]"
